CODI_ESTACIO,DATA_LECTURA,TM,TX,TN,HRM,PPT24H,HPA,RS24H,VVM10,DVM10,VVX10,DVX10
X8,01/05/2008,16.5,22,10.7,60,0,1006.4,28.3,,160,7.6,170
X8,02/05/2008,18.2,24.2,11.4,49,0,1011,27.5,,178,5.2,170
X8,03/05/2008,19.5,25.4,13.5,35,0,1011.4,27.8,,200,7.2,195
X8,04/05/2008,19.6,25.1,14.3,39,0,1009.3,28.1,,220,7.9,228
X8,05/05/2008,20.2,27,15.8,53,0,1008.1,20.6,,143,6.6,74
X8,06/05/2008,19.1,24.3,16.1,70,0,1008.8,26.3,,101,8.7,80
X8,07/05/2008,18.3,22.6,15.6,62,0,1007.5,26.9,,87,8.9,88
X8,08/05/2008,17.8,21.7,14.7,65,0,1004.6,18.9,,81,8.7,93
X8,09/05/2008,14.4,17.8,12.7,84,33.8,1000.6,2.7,,58,14.5,74
X8,10/05/2008,14.1,16.2,12.6,90,62.3,998.1,2.3,,70,15.6,78
X8,11/05/2008,16,19,13.9,78,0.9,1002.8,20.2,,85,12.9,97
X8,12/05/2008,16.7,20.9,13.9,64,0,1004.4,14,,65,9.7,26
X8,13/05/2008,17.7,22.1,13.8,62,0,1004.8,28.3,,216,9.4,167
X8,14/05/2008,17.1,21.8,13.2,78,0,1004.3,16.9,,222,6.6,174
X8,15/05/2008,18.3,24.1,15.8,81,0.5,1001.8,19,,215,7.7,168
X8,16/05/2008,18.3,23.8,15.3,78,0,998.8,18.9,,132,6.1,154
X8,17/05/2008,16.9,20.1,14.2,78,3.1,998.5,9.1,,120,6.3,139
X8,18/05/2008,18.2,23.7,14.5,70,0.1,998.2,26.2,,215,8.4,229
X8,19/05/2008,16.4,20.3,14.3,72,0.5,995.6,9.6,,300,12.3,300
X8,20/05/2008,19.1,27.3,14.7,60,0,997.4,27.9,,304,11.7,308
X8,21/05/2008,19.6,25.7,14.6,65,0,1001.4,28,,128,8.7,209
X8,22/05/2008,18.3,22.9,15.4,73,1.8,1003.4,16.7,,81,6.8,73
X8,23/05/2008,18.9,24.1,14.9,74,0,1000.8,15.4,,199,5.8,160
X8,24/05/2008,19.4,23.4,17.1,80,4.7,997.8,16.5,,198,7.1,197
X8,25/05/2008,16.7,18.5,13.5,86,10.9,998.5,2.4,,131,10,162
X8,26/05/2008,19,25.6,13.6,61,1.1,997.7,19.2,,290,9.2,303
X8,27/05/2008,17.4,22.5,15.1,73,4,994.5,12,,287,7.8,273
X8,28/05/2008,18,22.3,14.2,76,0,1002,16.4,,114,5.8,102
X8,29/05/2008,19.6,24.3,14.2,60,0.1,1000.9,28.9,,250,9.7,196
X8,30/05/2008,20.9,27.1,15.8,58,0,1001.8,27.2,,162,7.2,172
X8,31/05/2008,18.7,20.7,17.3,81,0.2,1004.5,8.8,,93,8.9,100
X8,01/06/2008,17.8,21.6,15.6,84,4.2,1003.4,11.3,,184,6,150
X8,02/06/2008,18.9,23.6,14.8,76,0,1005.1,22.5,,106,5.9,99
X8,03/06/2008,18.9,24,16,75,6.5,1007.2,19,,147,7.2,146
X8,04/06/2008,19.4,24.5,14.1,69,0,1006.6,29,,246,9.4,240
X8,05/06/2008,18.9,24.9,14.9,78,18.9,1004.3,15.5,,79,8.7,56
X8,06/06/2008,19.2,24.8,14.5,73,1,1005.2,27.4,,223,11,33
X8,07/06/2008,18.2,22.7,14.5,66,1.5,1007.1,20.7,,195,8.3,312
X8,08/06/2008,18.9,23.6,14.6,67,0,1006.4,27.2,,192,6.7,166
X8,09/06/2008,19.9,25.4,16,66,0,1007.3,23.4,,99,9.7,116
X8,10/06/2008,18.4,21.4,16.9,77,2,1008.6,9.2,,79,10.8,81
X8,11/06/2008,19.9,23.9,15.7,71,0.4,1007,26.6,,83,8,88
X8,12/06/2008,22.6,29.4,17.4,61,0,1004.1,29,,283,8.9,235
X8,13/06/2008,20,24.2,17,74,0,1004.8,18.8,,94,9.5,65
X8,14/06/2008,19.1,23.3,16.5,71,0,1007.2,16.9,,183,8.1,195
X8,15/06/2008,19.3,22.1,16.2,83,0,1002.6,8.7,,212,6.8,212
X8,16/06/2008,21.3,25.7,18.4,68,0.2,996.7,23.1,,177,7.5,174
X8,17/06/2008,20.2,25.3,17.4,73,0.3,1002.4,15.4,,257,8.8,205
X8,18/06/2008,21.9,26.3,16.9,60,0,1007.8,31.6,,249,11,222
X8,19/06/2008,22.9,27.8,17.8,67,0,1009,30.7,,222,9.2,207
X8,20/06/2008,24.8,30.8,18.7,50,0,1009.6,31,,226,8.9,211
X8,21/06/2008,26.2,33.8,19.7,42,0,1008.9,30.5,,224,8.3,213
X8,22/06/2008,27.3,33.6,21.1,35,0,1008.4,31.8,,181,6.6,153
X8,23/06/2008,26,32.7,20.8,41,0,1007.3,29.1,,82,8.2,93
X8,24/06/2008,24.4,27.8,21.9,64,0,1004.2,18.3,,80,11.8,91
X8,25/06/2008,26.4,31.9,20.8,54,0,1006.3,28.5,,261,7.6,297
X8,26/06/2008,27.5,32.5,22.4,48,0,1007.6,29.4,,211,8.6,206
X8,27/06/2008,25.4,30.8,19.4,60,10,1009,24.6,,304,12.6,335
X8,28/06/2008,26.2,31,21.5,61,0,1008.6,30.1,,196,7.8,190
X8,29/06/2008,26.5,32,21.6,62,0,1007.8,30.3,,217,7.2,182
X8,30/06/2008,27.8,33.5,22.3,46,0,1007.5,29.3,,225,8.5,225
X8,01/07/2008,27.1,32.1,23.4,54,0,1004.9,29.4,,231,9.9,205
X8,02/07/2008,25.7,30,22.9,69,0,1002.2,22.5,,228,7.7,195
X8,03/07/2008,23.8,27.2,19.9,69,1.3,1002.7,15.9,,92,9.4,90
X8,04/07/2008,23.8,27.8,18.9,61,0,1006.2,30.6,,236,11.6,215
X8,05/07/2008,25.5,30.1,21.2,73,0,1003.8,30,,215,9.3,227
X8,06/07/2008,25.3,32,21.8,72,0,1001.2,23.6,,132,8.5,68
X8,07/07/2008,23.3,27.9,20.2,61,0,1004.6,20.8,,132,7.3,140
X8,08/07/2008,23.4,27.6,18.8,61,0,1009.5,27.3,,183,8.5,154
X8,09/07/2008,24.6,29.8,20.5,67,0,1008.7,26.7,,216,9.1,210
X8,10/07/2008,25.3,30.1,21,70,0,1005.5,27.5,,228,10.7,209
X8,11/07/2008,25.8,30.9,21.6,72,0,1002.4,20,,176,7.4,156
X8,12/07/2008,23.2,29,17.4,76,42.4,1001.5,20.3,,96,10.4,90
X8,13/07/2008,21.6,27.2,16.6,63,0,1004.9,29.8,,261,9.8,310
X8,14/07/2008,22.6,26.5,19,63,0,1012.1,25.4,,166,7.9,157
X8,15/07/2008,23.5,27.6,20.4,66,0,1015.2,19.8,,213,7,191
X8,16/07/2008,23.7,27.8,20,53,0,1011.7,22.6,,98,9.3,109
X8,17/07/2008,25.2,31.1,20.4,50,0,1006.3,24.8,,181,8.6,136
X8,18/07/2008,24.8,28.9,21.8,65,0,1006.4,28.1,,226,10.3,217
X8,19/07/2008,25.8,30.2,21.5,67,0,1006.6,29.2,,234,10.8,225
X8,20/07/2008,26.1,30.6,22.4,66,0,1005.8,24.2,,211,9,211
X8,21/07/2008,24.2,30.3,21.9,71,0.1,1008.1,16.9,,220,10.3,201
X8,22/07/2008,24.2,28.1,20.9,65,0,1010.6,28.4,,220,8.5,169
X8,23/07/2008,24.6,29.3,19.3,68,0,1007.7,26.8,,222,9.6,207
X8,24/07/2008,24.9,29.7,20.7,68,0.7,1003,24.9,,225,8.5,218
X8,25/07/2008,25.7,30.1,22.2,71,0,1001.4,27.1,,125,6.1,169
X8,26/07/2008,26.7,32.4,22.3,59,0,1003.5,28,,190,9.1,214
X8,27/07/2008,26.3,30.7,22.1,60,0,1005.5,28,,220,9.1,227
X8,28/07/2008,26.6,31.8,22.2,70,0,1004.5,27.1,,225,7.9,221
X8,29/07/2008,26,30.4,23.1,71,0,1006.4,25.5,,105,7.6,100
X8,30/07/2008,26.9,32.7,21.6,63,0,1006.7,28.1,,115,5.7,128
X8,31/07/2008,28,35.3,22.3,60,0,1005.7,27.7,,141,5.9,138
X8,01/08/2008,26,30.1,23.4,68,0,1006.8,23.7,,93,9.7,92
X8,02/08/2008,26.6,32.2,22.6,60,0,1009.9,27,,220,9.6,234
X8,03/08/2008,26.8,31.6,22.8,64,0,1008.5,26.6,,229,11.1,214
X8,04/08/2008,27.7,33,22.8,61,0,1005.5,26.8,,227,10.5,216
X8,05/08/2008,28.3,33.8,23.2,57,0,1005.3,25.9,,221,9.4,214
X8,06/08/2008,28.8,34.7,24.3,49,0,1002.6,26.1,,219,9.9,202
X8,07/08/2008,26.4,31.5,23.1,66,0,1000.5,19.7,,102,7.6,64
X8,08/08/2008,25.6,31.1,23.1,63,0,1004.5,22.8,,182,10,162
X8,09/08/2008,25.1,30.2,21.2,56,0,1005.8,21.7,,245,10,173
X8,10/08/2008,26.3,31.2,22.2,70,0,1002.9,21.9,,222,10.3,196
X8,11/08/2008,26.3,30.3,23.8,75,0,997.9,12.6,,215,9.7,183
X8,12/08/2008,28.5,34.3,23.6,63,0,995.1,26,,211,11.1,205
X8,13/08/2008,24.4,28.7,22.3,56,0,1004.9,18.9,,101,6.8,83
X8,14/08/2008,24,28.5,20.9,58,0.2,1004.5,13.7,,159,5.7,198
X8,15/08/2008,23.2,30,18.5,51,0,1004.4,26.8,,14,15.6,311
X8,16/08/2008,23.7,28.8,19.1,59,0,1001.4,19,,235,11.3,229
X8,17/08/2008,24.3,30.7,19.7,70,0,1002.9,21.6,,106,7.1,139
X8,18/08/2008,25.3,30.8,20.6,71,0,1005.1,24.5,,213,8.8,208
X8,19/08/2008,25.5,30.2,21.7,70,0,1004.5,23.2,,95,9.1,104
X8,20/08/2008,23.6,29.4,21.2,66,0,1008.1,12.4,,188,7.2,151
X8,21/08/2008,24.5,29.3,20.8,71,0,1008.8,15.9,,224,7.9,256
X8,22/08/2008,23.9,29.7,17.6,75,11.6,1006.5,8.6,,132,15.6,311
X8,23/08/2008,22.3,27.5,18.6,75,0,1006.5,17.5,,203,7.9,215
X8,24/08/2008,23.8,30.3,19.7,76,0,1004.9,16,,79,6.7,118
X8,25/08/2008,23.7,27,22.1,74,0,1008,10.5,,98,7.9,129
X8,26/08/2008,23.8,28.2,21.6,69,0,1010.7,11.3,,137,6.9,148
X8,27/08/2008,25,30.5,21.2,61,0,1009.6,23.4,,126,6.2,125
X8,28/08/2008,25.5,30.4,21,56,0,1008.3,23.6,,133,6.7,116
X8,29/08/2008,25.5,31.6,21.6,53,0,1006.6,23.5,,209,6.7,239
X8,30/08/2008,25.2,30.8,19.8,59,0,1005,23.3,,230,9.7,213
X8,31/08/2008,24.9,29.8,22,75,0,1005.6,14.6,,95,7.5,116
X8,01/09/2008,25.6,30.3,21.8,60,0,1008.2,22.8,,230,10,200
X8,02/09/2008,25.2,30.3,21.1,70,0,1005.4,20.6,,238,10.6,246
X8,03/09/2008,25.7,30,23.2,73,0,1000.9,16.9,,222,8.7,227
X8,04/09/2008,25.8,30.5,22.1,64,0,998.1,16.9,,121,6.4,243
X8,05/09/2008,25.8,32.2,20.5,67,0,997.4,18.3,,236,9.6,214
X8,06/09/2008,24.6,31.7,21.2,51,0,1000.3,15.5,,304,10.6,311
X8,07/09/2008,22.7,27,18.5,55,0,1006.2,21.4,,118,7.1,136
X8,08/09/2008,23.4,28.9,17.9,62,0,1007.2,20.8,,197,6.9,144
X8,09/09/2008,24,27.4,20.8,67,0,1005.9,11.4,,75,10.6,31
X8,10/09/2008,25.3,29.9,22,59,0,1004,17.3,,87,9.8,82
X8,11/09/2008,25.3,30.7,21.8,67,1.6,1000.3,16,,235,8.8,245
X8,12/09/2008,21.2,26.9,17.6,52,0.1,1003.1,15.8,,304,12.2,303
X8,13/09/2008,20.3,27.3,15.2,44,0,1005.1,22.7,,313,10.4,290
X8,14/09/2008,21.5,27.9,14.5,46,0,1005.2,22.1,,298,11.3,307
X8,15/09/2008,21.8,27,17.1,53,0,1004.5,21.6,,269,8.9,321
X8,16/09/2008,21.8,27,17.5,63,0,1004.4,16.3,,184,8.8,170
X8,17/09/2008,22.1,27,19,70,0,1005.7,11.1,,245,7.5,209
X8,18/09/2008,23,27.9,20.2,75,0,1007.9,9.1,,241,6.6,199
X8,19/09/2008,22.7,27.2,19.1,71,4,1009.2,14.8,,94,6.3,128
X8,20/09/2008,21.8,27,19.2,75,0.2,1009.9,9.7,,134,7.6,134
X8,21/09/2008,20.9,23.8,18.8,73,0,1005.3,11.5,,92,6.9,91
X8,22/09/2008,18.8,20.3,17.3,80,20.3,1001.9,1.9,,62,8.9,89
X8,23/09/2008,17.3,19,15.6,66,1.3,1002.2,4.5,,25,5.6,81
X8,24/09/2008,18.9,24,14.5,59,0,1006.3,13.5,,66,6.5,100
X8,25/09/2008,19.6,24.7,14.8,60,6.8,1010.1,17.6,,249,9.8,215
X8,26/09/2008,16.8,21.5,14.2,77,4.2,1012.3,6.6,,74,6.5,140
X8,27/09/2008,18.7,23,15.4,60,0,1013.8,19.2,,71,9.2,108
X8,28/09/2008,18.7,24.4,13.2,64,0,1013.4,18.6,,218,5.8,200
X8,29/09/2008,19.8,25.1,14.9,60,0,1009.9,18.8,,249,10.3,228
X8,30/09/2008,19.5,24.3,15.8,67,0,1008,14.5,,181,7.3,169
X8,01/10/2008,19.1,24.7,14.8,62,0,1006.3,14.5,,99,6.8,300
X8,02/10/2008,19.7,24.5,16.3,68,0,1003.4,12.9,,82,6.1,94
X8,03/10/2008,17.1,21.2,12.4,64,0,1005,13.6,,168,10.4,170
X8,04/10/2008,15.4,21,10.4,38,0,1011.9,17.9,,284,8.6,314
X8,05/10/2008,18,23.3,12.9,49,0,1009.5,17.9,,257,10,213
X8,06/10/2008,19.5,24.7,14,69,0,1010.4,17.4,,246,9.1,232
X8,07/10/2008,20.5,25.6,16.6,71,0,1007.2,14.5,,248,8.9,218
X8,08/10/2008,18.1,22.2,15.1,67,5.7,1006.5,7.7,,6,6.7,93
X8,09/10/2008,17.7,20.5,14.1,64,0,1013.3,4.3,,57,9.8,71
X8,10/10/2008,20.6,24,17,59,0,1019,16.2,,75,9.5,82
X8,11/10/2008,19.7,23.8,16,73,0,1018.6,12.2,,74,11.4,89
X8,12/10/2008,20.9,22.3,20.1,83,0,1016.8,3.6,,75,8.9,57
X8,13/10/2008,21.8,26,18.8,82,0,1013,7.8,,193,5.1,320
X8,14/10/2008,21.4,27.5,18.2,79,0,1011.3,12.9,,160,5,171
X8,15/10/2008,21.1,27,17.3,77,0,1011.6,13.6,,214,6.1,222
X8,16/10/2008,21.2,26.3,18.1,74,0,1008.6,13.4,,233,8,206
X8,17/10/2008,19.9,24.4,18,82,5,1006.6,7,,94,9.2,153
X8,18/10/2008,17.1,18.4,15.9,78,4,1008.4,2.8,,63,7.6,82
X8,19/10/2008,19,22.1,16.9,73,0,1011.9,10.6,,77,6.8,42
X8,20/10/2008,20.5,25.8,18.1,80,0,1011.3,8.7,,126,4.3,130
X8,21/10/2008,20.2,25.3,16.5,79,0,1005.3,13.4,,214,5.5,165
X8,22/10/2008,17.1,20.4,13.7,78,0.7,1004.7,3.3,,311,9.2,309
X8,23/10/2008,14.1,16.6,11.4,75,1.8,1011.3,4.3,,306,8.8,306
X8,24/10/2008,17.5,23.3,12.7,72,0,1012.3,10.9,,114,5,136
X8,25/10/2008,19.6,25.4,16,64,0,1015.9,12.8,,114,6.2,347
X8,26/10/2008,18.3,24.8,13.4,67,0,1015.3,13.6,,229,5.7,169
X8,27/10/2008,18.6,23.8,14.1,62,0,1004.6,13,,253,9.1,234
X8,28/10/2008,14.1,17.7,10.2,84,29,994.5,1.5,,36,6.6,291
X8,29/10/2008,7.7,10.4,5.7,86,22.6,994.9,1.5,,317,11.8,305
X8,30/10/2008,11.7,17.2,5.4,55,0,993.1,12.3,,272,12.5,280
X8,31/10/2008,14.9,17.8,11.2,78,10.2,990.3,3.8,,239,12.8,203
X8,01/11/2008,17.2,21.9,14.6,75,13.3,994.1,6.6,,234,10.4,208
X8,02/11/2008,14.9,18.9,8.9,79,20.6,994.5,3.3,,192,14.6,168
X8,03/11/2008,12.2,17.2,8.2,64,0,1002.3,12.8,,270,10.1,309
X8,04/11/2008,13.2,19.4,9.4,58,0,999.1,9,,286,7.8,300
X8,05/11/2008,12.5,16.3,10.6,60,0,1003.5,7.8,,302,9.9,304
X8,06/11/2008,13.6,18.5,10.6,66,0,1006.8,8,,306,7.7,317
X8,07/11/2008,13.8,18.9,9.1,64,0,1008,9.8,,295,7.2,303
X8,08/11/2008,13.4,18.8,10,74,0,1012.7,6.2,,282,5.9,319
X8,09/11/2008,14,19.3,10.3,71,0,1018.3,10.8,,274,5.2,268
X8,10/11/2008,15.6,20.5,11.9,75,0,1017,10.4,,264,8.2,214
X8,11/11/2008,15.7,19.4,13.2,75,0,1010.6,7.1,,281,4.6,297
X8,12/11/2008,12.7,14.4,10.9,80,2.1,1008.1,2.5,,319,6.5,306
X8,13/11/2008,12.4,18.5,8.5,56,0,1008.6,9,,313,11.4,318
X8,14/11/2008,12.1,16.9,7.9,40,0,1011.3,11.1,,303,9.7,314
X8,15/11/2008,13,19.7,7.7,50,0,1014.1,10.8,,266,6.9,311
X8,16/11/2008,12.7,17.9,8.8,55,0,1015.3,11,,305,8.3,303
X8,17/11/2008,12.8,17.3,8.9,60,0,1014.1,10.9,,311,11.2,293
X8,18/11/2008,11.3,14.6,8.9,68,0,1008.1,5.3,,307,8.9,324
X8,19/11/2008,12.6,18.4,8,68,0,1009.6,10,,280,7.6,354
X8,20/11/2008,11,15.3,8.4,65,0,1013.5,10.3,,307,10.3,337
X8,21/11/2008,11.7,15.5,6.7,65,0,1008.9,10.2,,297,16.2,318
X8,22/11/2008,14.9,19.6,12.8,65,0,1002.5,7.4,,289,17.8,303
X8,23/11/2008,12.9,15.4,9.1,69,0,1001.5,5.3,,257,10.9,332
X8,24/11/2008,12,15.3,6.9,53,0,988.4,8.5,,285,12,241
X8,25/11/2008,9.6,15.2,6.3,57,0,997.7,9.9,,311,10.1,325
X8,26/11/2008,7.6,12.7,3.9,42,0,1011.4,9.5,,305,9,302
X8,27/11/2008,7,12.1,2.1,59,2.5,1008.1,5.1,,356,11,337
X8,28/11/2008,6.4,10.6,4.1,65,10,993.4,8.3,,310,14.2,303
X8,29/11/2008,8.7,11.7,4.2,61,3.5,986.8,3.4,,278,13.4,298
X8,30/11/2008,9.4,12,7.2,46,0,989.6,5.7,,285,11.4,264
X8,01/12/2008,9,12.9,4.9,49,0,995.1,9.4,,294,13.3,304
X8,02/12/2008,8,12.9,4.9,59,0,1003.9,8.4,,308,9,300
X8,03/12/2008,8.6,12.7,4.5,55,0,1001.1,7.9,,297,12.2,301
X8,04/12/2008,10.1,12.4,7.3,60,0,999.3,5.7,,297,9.6,301
X8,05/12/2008,13.8,18.1,10.4,50,0,997.7,8.6,,300,11.5,313
X8,06/12/2008,11.1,14.8,6.7,55,0,1006.8,6.1,,305,9.4,319
X8,07/12/2008,12,13.3,9.8,73,0,1010.9,2.8,,77,6.5,94
X8,08/12/2008,11.8,13.1,10.4,65,0.2,1012.5,2.8,,69,8.2,88
X8,09/12/2008,11.9,13.9,9.4,78,11,1003.1,3,,33,7.4,61
X8,10/12/2008,7.5,11.1,4,77,14,999.3,2.9,,285,8.9,305
X8,11/12/2008,6.8,11.8,3.1,45,0,1000.8,9.2,,310,10.7,287
X8,12/12/2008,8.2,13.9,4.4,65,0,1004.2,8.5,,309,7.9,359
X8,13/12/2008,9.6,14,6.4,72,8,996.5,7.1,,288,8.4,302
X8,14/12/2008,7.1,10.1,5.2,72,0.2,985.4,7.8,,305,11.6,295
X8,15/12/2008,6.7,9.5,5.1,68,5,993.7,3.5,,313,12.6,332
X8,16/12/2008,8.3,10.3,6.2,75,2.5,997.2,2.6,,306,13.7,310
X8,17/12/2008,9.6,13.9,5.5,64,0,1002.7,7.7,,296,8.5,300
X8,18/12/2008,10.5,14.7,6.6,56,0,1007.6,8.6,,302,10.2,307
X8,19/12/2008,10.8,15.5,7.3,58,0,1015.9,7.1,,310,12.7,310
X8,20/12/2008,11.5,17.6,7.3,59,0,1019.5,8.9,,304,12.2,296
X8,21/12/2008,10.9,16.4,7.6,61,0,1020.2,8.7,,291,7,293
X8,22/12/2008,10.4,16.5,6.5,65,0,1019.4,8.3,,209,3.3,252
X8,23/12/2008,8.7,14.1,4.9,82,0.1,1018.1,7.3,,269,4.1,238
X8,24/12/2008,9.7,14.8,5.4,77,0,1017.3,7.9,,225,4.2,163
X8,25/12/2008,9.1,13.8,4.7,62,0,1008,8.8,,349,11.2,84
X8,26/12/2008,7.2,9.9,5.1,81,38.8,1003.7,1.5,,55,18.9,78
X8,27/12/2008,10.8,13,8.9,87,18,1006.9,3.1,,84,15.3,86
X8,28/12/2008,9.5,11.1,8.4,75,1.7,1008.8,1.6,,76,12.5,81
X8,29/12/2008,8.6,9.1,8.3,79,0.6,1013.9,1,,35,6,48
X8,30/12/2008,11.3,14.9,8,84,1.5,1017,5.9,,247,4.6,250
X8,31/12/2008,11.9,16.4,9.9,85,0.1,1015,6,,280,4.2,300
X8,01/01/2009,11.3,13.8,9.2,77,0,1010.2,4.9,,335,5.9,307
X8,02/01/2009,10.5,12.2,7.2,83,0.4,1007.8,2.9,,285,4,297
X8,03/01/2009,9.4,11,7,80,0.1,1006.4,1.2,,57,7.5,45
X8,04/01/2009,8.7,12.6,5,65,0,1007.6,8.3,,331,9.9,328
X8,05/01/2009,6.5,10.4,4.3,63,0,1004.9,8.8,,311,11.2,306
X8,06/01/2009,4.7,8.3,2.1,77,15,1001.1,3.2,,352,7.5,316
X8,07/01/2009,3.1,7.6,0.9,74,2.1,1002.6,5.9,,307,8.5,334
X8,08/01/2009,3.2,6.1,-0.9,64,0,1008.8,4.9,,23,8.6,308
X8,09/01/2009,8.3,10.8,3.6,71,5.2,1008.6,3.8,,49,10.5,20
X8,10/01/2009,9.3,12.5,6.3,80,13.8,1012.4,5.7,,27,7.8,321
X8,11/01/2009,9.5,14.4,6.1,67,0,1018.4,9.5,,315,9.7,346
X8,12/01/2009,9.8,15.8,4.8,55,0,1016.1,9.7,,330,7.3,303
X8,13/01/2009,7.6,13.2,4.2,55,0,1007.4,9.7,,308,12.2,317
X8,14/01/2009,8.6,12.7,5.9,61,0,1006.1,8.8,,311,10.5,319
X8,15/01/2009,8.6,14.4,4,68,0,1006.3,9.9,,344,9.2,341
X8,16/01/2009,9.5,13.5,5.1,72,0,1012.2,7.2,,72,6,72
X8,17/01/2009,9.4,14.7,6.1,72,0,1013.4,8.9,,295,7,317
X8,18/01/2009,10.2,16.2,5,63,0,1009.3,9.5,,291,10.1,316
X8,19/01/2009,12.5,17.4,7.9,72,0,997.6,8.4,,255,9.4,305
X8,20/01/2009,10.3,13.4,6.6,53,0,991.6,10.9,,305,10.3,307
X8,21/01/2009,7.4,11.6,4.3,54,0,1000.2,10.9,,314,12,335
X8,22/01/2009,8.7,11.9,5.4,62,0.2,998.8,6.3,,294,13.6,298
X8,23/01/2009,15.2,21.5,9.1,66,0,988.7,6.1,,279,13.3,300
X8,24/01/2009,13.2,17.7,8.6,44,0,984.6,7.1,,282,27.5,283
X8,25/01/2009,11,16.6,7.7,51,0,989.3,11.1,,275,11.7,291
X8,26/01/2009,8.4,13.4,6.9,57,0,990.8,8.9,,306,15.8,298
X8,27/01/2009,9.9,14.9,6.2,52,0,998.7,11.6,,313,14.7,338
X8,28/01/2009,10.5,16.1,5.1,58,0,1001.9,10.8,,326,12.3,344
X8,29/01/2009,11.3,14.7,8,79,0,1004.3,4.2,,198,4.5,176
X8,30/01/2009,12.5,14.6,11.3,79,0,1004,3.1,,214,4,171
X8,31/01/2009,11.7,14.4,10.1,89,22,995.4,2.3,,105,6,186
X8,01/02/2009,10.1,12.2,7.7,88,15.1,987.4,2.5,,133,8.4,144
X8,02/02/2009,10.2,12.8,8,89,15.3,983.1,2.7,,37,6.5,50
X8,03/02/2009,9.6,12.9,7.9,78,9.8,988.4,6.7,,298,7.3,287
X8,04/02/2009,11.5,17.3,7.4,64,0,989.7,12.4,,267,8.9,221
X8,05/02/2009,11,13.5,8.8,81,1.4,988.6,4.4,,277,5.5,239
X8,06/02/2009,10.3,14.4,7.2,73,0.5,982.8,9.3,,271,9.8,321
X8,07/02/2009,7.8,12.7,4.8,58,0,985.2,12.4,,308,15.3,305
X8,08/02/2009,8.5,13.7,3.9,45,0,996.4,11.3,,306,11.9,304
X8,09/02/2009,11.9,18,5,62,0,1003.8,9.6,,268,9.6,283
X8,10/02/2009,13.4,18,8.7,47,0,1004.5,8.9,,295,14,287
X8,11/02/2009,8.7,13.5,6,59,0,1008.2,8.3,,317,13,331
X8,12/02/2009,9.6,13.6,5.7,66,0,1007.7,11.6,,221,9.7,77
X8,13/02/2009,8.9,12.5,6.9,64,0,1009.4,10.7,,275,6.1,218
X8,14/02/2009,9.6,14.5,5.4,64,0,1008.8,12.3,,130,7.8,358
X8,15/02/2009,7.9,10.1,6.5,57,0,1013.9,6,,127,5,92
X8,16/02/2009,9.1,12.5,6.9,68,0,1013.6,9.8,,150,6,148
X8,17/02/2009,10.4,15.4,6.2,59,0,1012,13.8,,283,8.6,293
X8,18/02/2009,11.5,18.7,7.2,56,0,1008.1,14.5,,299,14.9,301
X8,19/02/2009,11.4,16.8,7.3,71,0.1,1011.4,13.5,,241,7.5,227
X8,20/02/2009,10.1,13.7,7,58,0,1017,11.6,,123,5.8,117
X8,21/02/2009,9.5,15.6,5.1,69,0,1016.3,12.8,,298,7.2,103
X8,22/02/2009,11.5,17.7,6.1,57,0,1014.7,15.1,,298,11.8,304
X8,23/02/2009,12,18,8.5,61,0,1008.1,13.4,,304,12.5,303
X8,24/02/2009,11.4,17,7.7,73,0,1008.6,14.5,,247,6.9,160
X8,25/02/2009,11,16,8.2,71,0,1016.5,11.4,,146,5.7,130
X8,26/02/2009,11.6,16.3,7.7,72,0,1016.1,15.8,,256,9.1,211
X8,27/02/2009,13.3,20.1,8.7,63,0,1009.1,15.7,,249,6.3,288
X8,28/02/2009,11.1,15,7.5,77,0,1004.8,6,,145,5.7,162
X8,01/03/2009,11.8,15.9,9.8,78,0.4,1002.6,5.6,,313,4.6,309
X8,02/03/2009,11.7,17.3,7.9,78,0.8,1007.2,8.7,,147,4.6,75
X8,03/03/2009,11,14,8.5,77,1.8,1005.7,4.7,,187,6.2,184
X8,04/03/2009,9.3,13.1,6.1,78,2.2,986.7,5.1,,279,11.5,323
X8,05/03/2009,7.6,13.2,5,56,0,980.2,13.5,,303,18.5,304
X8,06/03/2009,10.4,16.5,5.5,37,0,990.4,18.5,,305,14.4,294
X8,07/03/2009,11.6,15.9,6.6,43,0,1001,18.4,,48,11,330
X8,08/03/2009,12.9,17.6,8.5,64,0,1006.7,18.5,,254,7.6,216
X8,09/03/2009,12.5,15.8,9.7,71,0,1011.4,7.6,,159,7,168
X8,10/03/2009,12.9,17.1,9.6,72,1.5,1012.3,17.8,,234,10.2,231
X8,11/03/2009,12.3,16.2,9.7,73,0,1012.1,7.2,,90,6.2,44
X8,12/03/2009,12.7,18,8,76,0,1015.1,17.6,,218,6.4,171
X8,13/03/2009,14.5,19,9.4,66,0,1011.3,19.1,,244,6.7,204
X8,14/03/2009,15.7,20.9,10.4,53,0,1010.4,18.7,,93,7.8,107
X8,15/03/2009,15.3,20.4,11.6,53,0,1013.4,18.9,,219,10.5,206
X8,16/03/2009,14.7,20.2,10.9,53,0,1015,20,,86,12.6,99
X8,17/03/2009,14.6,19.4,10.3,46,0,1017.5,20.3,,107,7,90
X8,18/03/2009,13.7,19.6,9.4,56,0,1013.5,19.9,,236,9.5,185
